2.95, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.96, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.97, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.98, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
2.99, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.00, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.01, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.02, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.04, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.05, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.06, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.07, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.08, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.09, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.10, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.12, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.13, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.14, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.15, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.16, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.17, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.19, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.20, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.21, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.22, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.23, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.24, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.25, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.26, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.28, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.29, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.30, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.31, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.33, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.34, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.35, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.36, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.37, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.38, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.39, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.41, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.42, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.43, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.44, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.45, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.46, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.48, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.49, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.50, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.51, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.53, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.54, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.55, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.56, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.57, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.59, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.60, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.61, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.62, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.63, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.65, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.66, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.67, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.68, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.69, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.71, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.72, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.73, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.74, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.75, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.76, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.78, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.79, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.80, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.81, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.83, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.84, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.85, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.86, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
